Estado,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,2,0,0,0,0,0,0,2,0,0,0,0,0
Baja California,6,0,0,1,0,0,1,1,1,1,1,0,0
Baja California Sur, 1 551,84,38,26,47,52,49,75,114,139,393,392,142
Campeche,930,72,44,23,32,25,40,157,323,91,92,24,7
Coahuila,52,0,0,0,1,2,2,5,9,15,16,2,0
Colima,752,232,131,76,54,26,29,31,43,65,39,17,9
Chiapas,761,33,40,17,30,70,184,138,107,65,45,20,12
Chihuahua,2,0,0,0,0,0,0,1,1,0,0,0,0
Distrito Federal,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,18,0,0,0,1,0,0,0,1,7,5,4,0
Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerrero, 3 791,286,306,283,295,251,343,444,718,694,65,72,34
Hidalgo,45,1,1,1,8,4,2,3,6,7,11,1,0
Jalisco, 1 045,172,121,87,52,50,78,77,110,143,103,46,6
México,31,1,0,1,1,6,8,0,9,5,0,0,0
Michoacán, 1 156,135,119,90,78,54,75,39,116,167,160,100,23
Morelos, 1 222,18,9,24,21,42,74,115,176,236,334,140,33
Nayarit,231,10,4,5,10,43,31,33,49,24,20,2,0
Nuevo León, 2 067,10,27,42,50,114,114,160,369,398,489,253,41
Oaxaca, 1 424,81,55,56,123,154,257,211,261,130,72,17,7
Puebla, 1 100,10,12,18,18,33,101,226,292,214,142,28,6
Querétaro,1,0,0,0,1,0,0,0,0,0,0,0,0
Quintana Roo,560,62,82,41,53,37,62,126,55,22,10,6,4
San Luis Potosí,315,13,9,19,28,36,22,26,46,60,48,7,1
Sinaloa,722,47,18,17,18,29,32,78,87,102,193,97,4
Sonora, 2 404,17,10,2,2,9,8,23,29,304, 1 188,725,87
Tabasco,396,20,43,14,18,21,21,34,60,81,66,11,7
Tamaulipas,418,27,8,19,13,9,8,37,134,102,60,1,0
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,891,22,14,28,9,29,56,52,202,213,162,79,25
Yucatán, 1 706,146,79,27,23,21,41,198,340,252,325,201,53
Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL GLOBAL, 23 599, 1 499, 1 170,917,986, 1 117, 1 638, 2 292, 3 658, 3 537, 4 039, 2 245,501
