Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total
Aguascalientes,0,0,0,0,0,0,0,0,0,1,0,1,3
Baja California,0,0,1,11,2,5,2,2,7,0,1,0,30
Baja California Sur,16,4,1,1,2,3,3,2,6,22,3,0,63
Campeche,14,19,14,12,24,18,10,65,89,276,285,89,985
Coahuila,0,0,0,3,0,0,1,1,0,0,0,0,5
Colima,20,22,30,39,39,40,24,37,36,46,29,20,373
Chiapas,34,20,20,30,39,57,61,100,105,94,48,10,665
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0
Distrito Federal,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,0,0,0,0,0,2,1,1,0,0,0,8,12
Guanajuato,0,0,0,0,0,0,1,1,0,0,0,0,2
Guerrero,29,19,31,37,29,51,118,109,111,98,64,14,710
Hidalgo,1,0,3,0,0,0,3,9,8,5,18,1,50
Jalisco,11,12,19,18,13,21,30,24,16,22,21,1,219
México,1,1,0,0,0,0,0,0,0,0,1,0,3
Michoacán,35,34,48,34,46,28,49,56,45,108,79,15,677
Morelos,13,18,9,11,26,54,52,123,124,215,82,40,767
Nayarit,0,0,2,5,4,5,3,7,8,15,4,2,55
Nuevo León,26,46,80,46,57,69,88,50,63,79,90,21,715
Oaxaca,5,24,31,25,65,85,128,171,125,147,124,20,951
Puebla,5,10,17,12,25,25,22,23,17,20,6,2,184
Querétaro,7,0,0,0,0,0,0,0,0,0,0,0,7
Quintana Roo,7,10,24,31,43,36,132,199,401,560,259,60,"1,762"
San Luis Potosí,7,1,5,10,6,10,6,11,18,7,0,0,81
Sinaloa,4,4,4,8,11,5,13,20,11,4,7,0,91
Sonora,6,6,10,8,8,10,10,7,9,6,5,0,87
Tabasco,2,14,10,10,15,10,6,38,62,81,31,22,321
Tamaulipas,4,7,4,5,5,7,12,8,14,13,5,1,85
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,15,13,16,18,21,16,79,154,340,316,222,47,"1,267"
Yucatán,47,24,14,9,16,17,45,173,855,"1,970","1,506",690,"5,366"
Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL GLOBAL,302,303,399,385,541,561,923,"1,409","2,805","4,101","2,928","1,067","15,424"
