Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,2,0,0,0,0,0,0,0,2,0,0,0,0
Baja California,4,0,0,0,0,0,0,0,0,0,0,0,0
Baja California Sur,691,37,17,15,3,1,4,19,69,527,1659,1764,576
Campeche,1094,26,22,17,32,59,118,99,198,173,209,101,40
Coahuila,914,4,2,0,1,3,1,3,1,10,112,610,171
Colima,592,200,171,90,145,200,197,252,1007,679,786,714,151
Chiapas,2823,60,75,68,113,176,309,319,458,426,490,275,54
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0
Distrito Federal,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,1,0,0,0,0,1,0,0,0,0,0,0,0
Guanajuato,74,3,0,0,0,0,0,0,0,0,0,0,0
Guerrero,829,383,329,191,125,161,187,266,407,544,771,363,102
Hidalgo,792,0,3,2,4,12,36,137,336,108,115,38,1
Jalisco,4990,64,62,70,81,122,327,291,653,903,1429,752,236
México,66,1,20,25,0,0,0,5,5,11,0,0,0
Michoacán,695,208,136,133,54,78,120,157,144,200,267,158,40
Morelos,6850,23,35,12,8,137,870,1558,1729,1603,812,41,22
Nayarit,10444,5,0,45,0,394,1291,182,228,1245,2688,2050,1927
Nuevo León,102,101,77,83,152,168,210,292,548,857,1858,650,106
Oaxaca,3072,114,101,54,75,96,223,369,627,428,513,381,91
Puebla,1789,59,58,60,62,104,273,510,301,99,192,54,17
Querétaro,14,4,0,0,0,0,0,0,1,2,8,1,0
Quintana Roo,515,178,189,214,181,217,296,431,969,718,570,434,118
San Luis Potosí,1030,33,39,29,42,29,35,98,132,222,255,87,29
Sinaloa,2931,94,31,27,29,65,73,87,222,675,1161,343,124
Sonora,1384,12,28,11,11,11,8,0,20,22,191,703,297
Tabasco,556,145,251,486,901,1749,1908,2110,2025,1820,866,241,54
Tamaulipas,19031,135,140,126,106,324,3501,6228,3317,2214,2002,851,87
Tlaxcala,0,8,0,0,0,0,0,0,0,0,0,0,0
Veracruz,842,153,130,117,146,253,467,1163,2336,1697,1560,659,161
Yucatán,2848,93,76,59,48,95,149,238,394,423,549,491,233
Zacatecas,2,0,0,0,0,0,0,0,0,0,1,1,0
TOTAL GLOBAL,"105,973","2,156","2,023","1,865","2,716","5,346","9,488","14,881","17,171","17,370","19,445","10,794","2,718"
