Estado,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Aguascalientes,0,0,0,0,0,0,0,0,0,1,1,0,2
Baja California,0,0,0,0,0,0,0,0,1,0,0,0,1
Baja California Sur,0,0,0,0,0,0,0,0,1,0,0,14,15
Campeche,2,0,1,10,1,0,2,12,9,13,8,0,58
Coahuila,0,0,0,0,0,0,1,0,3,5,1,2,12
Colima,2,4,3,14,20,37,12,35,29,44,24,5,229
Chiapas,48,62,33,134,220,347,144,31,42,46,11,73,1191
Chihuahua,0,0,0,0,0,0,0,0,1,4,0,0,5
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,0,0,0,0,0,0,0,0,1,0,1,0,2
Guanajuato,0,0,0,0,0,0,0,1,6,4,5,0,16
Guerrero,1,2,0,7,22,55,87,10,34,61,46,1,326
Hidalgo,0,0,0,0,0,0,1,8,13,15,12,9,58
Jalisco,0,0,0,4,27,105,30,375,955,468,111,13,2088
México,0,0,0,1,0,1,0,1,0,0,0,0,3
Michoacán,0,2,1,2,3,3,12,17,25,21,16,0,102
Morelos,3,2,7,33,73,101,238,288,133,82,20,3,983
Nayarit,2,0,2,2,4,11,17,57,73,50,56,2,276
Nuevo León,1,0,0,2,4,17,29,49,160,58,15,2,337
Oaxaca,2,7,3,9,19,60,135,125,91,47,23,13,534
Puebla,1,0,1,4,7,11,40,59,68,41,14,1,247
Quintana Roo,13,14,13,19,27,51,98,149,248,269,200,15,1116
San Luis Potosí,1,0,1,1,1,8,11,11,34,19,3,1,91
Sinaloa,2,0,0,0,0,0,0,3,11,14,22,0,52
Sonora,0,0,0,0,0,0,1,13,27,21,3,0,65
Tabasco,11,22,26,26,7,8,18,75,96,114,70,9,482
Tamaulipas,3,0,1,0,1,0,8,11,37,18,16,2,97
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,23,12,13,30,48,125,249,364,327,219,123,32,1565
Yucatán,1,0,1,0,1,2,20,51,147,165,81,1,470
Zacatecas,0,0,0,0,0,0,0,0,0,2,0,0,2
TOTAL GLOBAL,114,127,106,304,485,850,1192,1742,2514,2176,891,232,"10,733"
