Estado,Enero ,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California Sur,0,0,0,0,0,0,0,0,0,0,1,0,1
Campeche,14,4,3,0,0,1,0,0,0,0,1,0,23
Coahuila,1,0,0,0,0,0,0,2,6,37,13,6,65
Colima,9,10,4,5,4,1,5,10,27,60,47,24,206
Chiapas,32,19,5,6,3,5,18,30,33,24,17,9,201
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,0,0,0,0,0,0,0,0,0,0,1,1,2
Guanajuato,1,0,0,0,0,0,0,0,2,1,1,0,5
Guerrero,44,51,26,6,4,15,19,30,30,8,12,13,258
Hidalgo,0,0,0,1,2,9,4,2,4,2,3,0,27
Jalisco,19,16,11,9,24,40,43,81,144,234,99,31,751
México,0,0,1,0,0,0,0,2,0,1,0,1,5
Michoacán,7,2,3,4,4,20,12,19,36,26,19,14,166
Morelos,24,4,6,12,6,10,24,45,44,23,22,12,232
Nayarit,38,23,19,14,13,14,20,27,38,89,97,14,406
Nuevo León,1,0,0,0,0,4,8,27,75,180,69,7,371
Oaxaca,8,2,4,3,3,6,2,2,29,19,12,10,100
Puebla,5,1,0,1,3,6,5,31,44,34,11,3,144
Querétaro,0,0,0,0,1,0,0,0,0,3,2,0,6
Quintana Roo,68,31,3,1,0,1,2,0,0,1,0,0,107
San Luis Potosí,2,1,1,2,4,0,2,5,3,22,9,4,55
Sinaloa,7,5,8,0,0,1,0,4,27,123,67,19,261
Sonora,0,0,0,0,0,0,0,0,0,0,2,0,2
Tabasco,77,106,24,4,0,1,1,2,1,1,1,0,218
Tamaulipas,18,6,3,4,0,7,7,22,72,134,41,8,322
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,78,40,38,22,6,6,20,7,22,50,24,18,331
Yucatán,47,29,9,2,1,2,0,0,0,0,2,0,92
Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL GLOBAL,500,350,168,96,78,149,192,348,637,1 072,573,194,4 357
